,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_nu,gamma_u,timestep
294,4.133850224789321,0.25567107419106494,4.3895212989803865,2.4729755711487167,2.172216802022734,0 days 00:00:51.393709000,0.05,0.01,0.005,0.04,3.1
295,2.3393009628072665,0.014787233108977447,2.354088195916244,0.19665862700248748,2.172216802022734,0 days 00:00:52.404356000,0.01,0.01,0.005,0.05,3.1
296,2.5537716731232623,0.10387338367457091,2.657645056797833,0.5893016384496716,2.172216802022734,0 days 00:00:51.048240000,0.02,0.01,0.005,0.05,3.1
297,2.745427257422658,0.31314413698165994,3.0585713944043182,1.199498729363245,2.172216802022734,0 days 00:00:51.966066000,0.03,0.01,0.005,0.05,3.1
298,2.923145280873583,0.6410874027200887,3.5642326835936715,2.033103284291026,2.172216802022734,0 days 00:00:50.788907000,0.04,0.01,0.005,0.05,3.1
299,3.2391162301693237,1.0143752193847637,4.253491449554088,3.095649866916121,2.172216802022734,0 days 00:00:52.289765000,0.05,0.01,0.005,0.05,3.1
300,2.0875643140069444,0.14643236727513556,2.23399668128208,0.208212246534481,2.172216802022734,0 days 00:00:51.181254000,0.01,0.01,0.005,0.06,3.1
301,1.997907294222694,0.4228385799015528,2.420745874124247,0.6713676520030654,2.172216802022734,0 days 00:00:50.588249000,0.02,0.01,0.005,0.06,3.1
302,1.9520183827170383,0.8144142844624259,2.766432667179464,1.4086301496191562,2.172216802022734,0 days 00:00:50.923047000,0.03,0.01,0.005,0.06,3.1
303,2.30772470572112,1.145611027970632,3.4533357336917523,2.4267299596396503,2.172216802022734,0 days 00:00:51.233031000,0.04,0.01,0.005,0.06,3.1
304,3.11066489455789,1.3956054151526696,4.506270309710559,3.7296589228404953,2.172216802022734,0 days 00:00:51.036124000,0.05,0.01,0.005,0.06,3.1
305,1.9477839230502947,0.22443287897243944,2.172216802022734,0.22443287897243944,2.172216802022734,0 days 00:00:51.269620000,0.01,0.01,0.005,0.07,3.1
306,1.614508925322673,0.6576941664592376,2.2722030917819107,0.7576804562184137,2.172216802022734,0 days 00:00:50.467781000,0.02,0.01,0.005,0.07,3.1
307,1.8374452523239324,0.9752723156861112,2.8127175680100436,1.6157730816734195,2.172216802022734,0 days 00:00:50.667307000,0.03,0.01,0.005,0.07,3.1
308,2.51893985056454,1.228012404069027,3.7469522546335674,2.80274785667986,2.172216802022734,0 days 00:00:50.522256000,0.04,0.01,0.005,0.07,3.1
309,3.5964530519664004,1.4451621565162194,5.04161520848262,4.314560562976106,2.172216802022734,0 days 00:00:51.411049000,0.05,0.01,0.005,0.07,3.1
310,1.9852741685091597,0.21477216882655556,2.2000463373357153,0.24260170413953755,2.172216802022734,0 days 00:00:50.966579000,0.01,0.01,0.005,0.08,3.1
311,1.9066731957145535,0.5533975267448584,2.460070722459412,0.8412514471815362,2.172216802022734,0 days 00:00:51.478720000,0.02,0.01,0.005,0.08,3.1
312,2.113145976565935,0.9331295031868976,3.0462754797528326,1.8071881809169956,2.172216802022734,0 days 00:00:51.743019000,0.03,0.01,0.005,0.08,3.1
313,2.8995036033528834,1.2047321171015595,4.104235720454443,3.1367510355332655,2.172216802022734,0 days 00:00:52.443078000,0.04,0.01,0.005,0.08,3.1
314,4.127068626894092,1.4271738142682078,5.554242441162299,4.809199453407775,2.172216802022734,0 days 00:00:51.235542000,0.05,0.01,0.005,0.08,3.1
315,2.1910632292842616,0.12100138469751916,2.312064613981781,0.2608491966565665,2.172216802022734,0 days 00:00:51.168625000,0.01,0.01,0.005,0.09,3.1
316,2.306371659400285,0.39179397277190475,2.6981656321721896,0.9177428029213599,2.172216802022734,0 days 00:00:51.657599000,0.02,0.01,0.005,0.09,3.1
317,2.5437659559647736,0.8016384127283092,3.345404368693083,1.9748259793986622,2.172216802022734,0 days 00:00:51.432257000,0.03,0.01,0.005,0.09,3.1
318,3.2980280665998887,1.144627827391983,4.442655893991872,3.415066919361119,2.172216802022734,0 days 00:00:51.347908000,0.04,0.01,0.005,0.09,3.1
319,4.589340506093343,1.3875994312742699,5.9769399373676135,5.192322566619149,2.172216802022734,0 days 00:00:51.580937000,0.05,0.01,0.005,0.09,3.1
320,2.3808142572097934,0.0,2.3808142572097934,0.2085974551870592,2.172216802022734,0 days 00:00:51.118860000,0.01,0.01,0.006,0.02,3.1
321,2.6093438608702595,0.0,2.6093438608702595,0.43712705884752556,2.172216802022734,0 days 00:00:51.648165000,0.02,0.01,0.006,0.02,3.1
322,2.89267371081827,0.0,2.89267371081827,0.7204569087955357,2.172216802022734,0 days 00:00:52.813326000,0.03,0.01,0.006,0.02,3.1
323,3.231148463414508,0.0,3.231148463414508,1.0589316613917736,2.172216802022734,0 days 00:00:52.533015000,0.04,0.01,0.006,0.02,3.1
324,3.624432564113408,0.000390274779463866,3.624822838892872,1.4529963116496016,2.172216802022734,0 days 00:00:51.622508000,0.05,0.01,0.006,0.02,3.1
325,2.368483870468751,0.00029925836734728605,2.3687831288360983,0.1968655851807105,2.172216802022734,0 days 00:00:51.435297000,0.01,0.01,0.006,0.03,3.1
